,n_topics,npmi_average
0,5,0.07147018900649244
1,6,0.05181339882455264
2,7,
3,8,0.04629078788865044
4,9,0.03244364877569379
5,10,0.04738187203149491
6,11,0.11161279164680461
7,12,0.05106249176475217
8,13,0.07248742914004618
9,14,0.09781926081883677
10,15,0.0819339941225275
11,16,0.08369848154164447
12,17,0.10074297872574195
13,18,0.0955694970403923
14,19,0.10488855623268294
15,20,0.104504130587361
16,21,0.09700751593227645
17,22,0.10367855374548983
18,23,0.10282390646297052
19,24,0.11842261639869411
20,25,0.090597111953578
21,26,0.12323715260287138
22,27,0.11498485479415281
23,28,0.12946629527021472
24,29,0.13480823458304708
25,30,0.143214523133173
26,31,0.14652948625611378
27,32,0.12668462960646332
28,33,0.1367783643490026
29,34,
30,35,
31,36,0.1320900989661703
32,37,
33,38,
34,39,
35,40,
