,n_topics,npmi_average
0,5,0.08130597574951551
1,6,0.08238369671466596
2,7,0.09115639423294256
3,8,0.08146610941092422
4,9,0.08376857792202014
0,10,0.08576091700297697
1,11,0.08519922745940431
2,12,0.08825174872213053
3,13,0.07896842249148786
4,14,0.08065923137902078
5,15,0.08184127724861424
6,16,0.07571815332982265
7,17,0.07600652406345058
8,18,0.06557639124199768
9,19,0.08074071638071384
10,20,0.08793610556493703
11,21,0.07176588494120713
12,22, 0.08506988277243839
13,23, 0.07404386453079456
14,24, 0.07935560713918943
15,25, 0.07502961011052257
16,26, 0.08178073217006379
17,27, 0.07620962635842707
18,28, 0.07036018071604812
19,29, 0.07561330811339637
20,30, 0.07915663099845503
