,n_topics,npmi_average
0,10,0.015092844360404402
1,11,0.01954338859363667
2,12,-0.10193274815785638
3,13,0.036153486616890204
4,14,0.010313061287567855
5,15,-0.009748836007227177
6,16,0.0004247149595284867
7,17,0.004788020636014511
8,18,-0.01174955274944929
9,19,0.0007376344731805729
10,20,0.009867400004890534
11,21,0.02242513505357931
12,22,-0.008052013236988748
13,23,0.0011168567577256056
14,24,-0.013615715256656231
15,25,0.011568063024819431
16,26,-0.00869896031315299
17,27,0.019525792461584594
18,28,0.02033411322840646
19,29,0.01391499040402799
20,30,0.019149966106387424
21,31,0.02343788340026564
22,32,0.018182694702399343
23,33,0.021944412261907204
24,34,0.027734464837887718
25,35,0.019036291316342838
26,36,0.03814520147172054
27,37,0.021521172950403605
28,38,0.021375838197999562
29,39,0.03602091740982669
30,40,0.025793025201763534
