,n_topics,npmi_average
0,5,0.09110535243920635
1,6,
2,7,0.06273887922325173
3,8,0.03737994566239292
4,9,0.04859767979477238
5,10,0.04663523935416767
6,11,0.05333412925251866
7,12,0.055113058065397943
8,13,0.07021946743602561
9,14,0.05902264737317088
10,15,0.048720412704480395
11,16,0.0747178721056576
12,17,0.07820509170156836
13,18,0.06740399139907813
14,19,0.08179255168137561
15,20,0.08418556000816238
16,21,
17,22,0.09357248597949328
18,23,0.10192738778406202
19,24,0.10493023072237212
20,25,0.09306171732920104
21,26,0.10020989427987126
22,27,
23,28,0.12551490850180888
24,29,0.11894401017625847
25,30,0.1243360754754966
26,31,0.13434844174360783
27,32,
28,33,0.1277416525285642
29,34,0.13739005728926387
30,35,0.1296826287515444
31,36,0.13448007599815576
32,37,
33,38,
34,39,0.13907254809981537
35,40,
