,n_topics,npmi_average
0,5,0.005466158368625207
1,6,0.03383168056560335
2,7,0.0010007481235834621
3,8,0.03225920440043893
4,9,-0.009654761431771446
5,10,0.01600506236142472
6,11,0.0067505335492255006
7,12,0.0067896468358387835
8,13,0.01803626985971279
9,14,0.0019283410080316464
10,15,0.009957176443646605
11,16,0.016951450392815433
12,17,0.007848682755957478
13,18,0.008154286516865174
14,19,0.00265192579239233
15,20,0.005260798061185236
16,21,0.0072877994931602255
17,22,0.00689573585241595
18,23,-0.00205370725242538
19,24,-0.004404725716301056
20,25,-0.004164243813059715
