,n_topics,npmi_average
0,5,0.06325755276191895
1,6,0.06749068558759423
2,7,0.07240587460967957
3,8,0.07941814102190665
4,9,0.07484113203411404
5,10,0.06604545309351822
6,11,0.06244166881492265
7,12,0.07069760542441321
8,13,0.06942358385051631
9,14,0.0733795689192837
10,15,0.07167731921120064
11,16,0.07353335166680318
12,17,0.06862374635028826
13,18,0.06927562282720674
14,19,0.06927069831355762
15,20,0.06758340501653173
16,21,0.06727723557098647
17,22,0.06465846018502489
18,23,0.07044126143665476
19,24,0.06713725266708086
20,25,0.06828691691764543
21,26,0.07087582377953772
22,27,0.07040990604016581
23,28,0.0676726893724304
24,29,0.06451242325181124
25,30,0.07075682453350274
