iterations,top_n,coherence,LL
50,5,3.5374822637041596,-8.85916
100,5,3.83514310483357,-8.73423
150,5,3.931191133966239,-8.69306
200,5,3.9561951600176624,-8.68068
250,5,4.272181150652507,-8.64046
300,5,4.740971542931074,-8.66702
350,5,4.8045103638737165,-8.65737
400,5,5.126448023222781,-8.6352
450,5,5.290947063787154,-8.60624
500,5,5.490522613064891,-8.57971
550,5,5.893729942692463,-8.55116
600,5,5.664569120522245,-8.52575
650,5,5.666915560764798,-8.49693
700,5,5.559498498171038,-8.48303
750,5,5.6576402547559805,-8.4716
800,5,5.86967132228191,-8.45364
850,5,5.514969060087511,-8.44322
900,5,5.659741476330448,-8.43481
950,5,5.689870342291432,-8.42965
1000,5,5.607323239364224,-8.4252
1050,5,5.546303012699194,-8.42415
1100,5,5.409227810456157,-8.41919
1150,5,5.498331914522968,-8.41662
1200,5,5.621357386189819,-8.41225
1250,5,5.505722196990279,-8.41083
1300,5,5.5155879571521975,-8.41698
1350,5,5.605294635365744,-8.41305
1400,5,5.501607776375385,-8.41404
1450,5,5.725967009414763,-8.40726
1500,5,5.472399619193547,-8.40914
1550,5,5.812732153314687,-8.40913
1600,5,5.7593994930585914,-8.40362
1650,5,5.506594558655775,-8.40833
1700,5,5.450543046462806,-8.41217
1750,5,5.575896407434445,-8.40882
1800,5,5.596426943469967,-8.41093
1850,5,5.584753045571104,-8.40727
1900,5,5.7154352603478955,-8.41232
1950,5,5.750701561187208,-8.40933
2000,5,5.768494997261166,-8.40989
2050,5,5.891111474582329,-8.40852
2100,5,5.793590097460446,-8.41141
2150,5,5.608498417704844,-8.41342
2200,5,5.9340889432049035,-8.40951
2250,5,5.735917617610664,-8.41381
2300,5,5.865880966303583,-8.40687
2350,5,5.708910592567933,-8.40787
2400,5,5.872100449464563,-8.40776
2450,5,5.810972254542608,-8.4094
2500,5,5.529156737998051,-8.40272
2550,5,5.810217339703857,-8.40443
2600,5,5.755644749939175,-8.40523
2650,5,5.587687679261443,-8.40377
2700,5,5.685272087715346,-8.41138
2750,5,5.753035697346191,-8.4061
2800,5,5.608571749437158,-8.40635
2850,5,5.673109952554426,-8.40928
