iterations,top_n,coherence,LL
50,5,0.10375009785849512,-8.88867
100,5,0.1168719413332106,-8.76834
150,5,0.11232371919865444,-8.71656
200,5,0.12240444809585764,-8.69552
250,5,0.13055527490293464,-8.64659
300,5,0.12995544461864128,-8.64398
350,5,0.13804449671058625,-8.61734
400,5,0.1481411723425776,-8.58874
450,5,0.14878714903299403,-8.55654
500,5,0.15175466871455454,-8.53428
550,5,0.1504487794876597,-8.51045
600,5,0.15492074893625105,-8.49083
650,5,0.15536006059276053,-8.47398
700,5,0.15021229327029598,-8.45873
750,5,0.15379177459997498,-8.45174
800,5,0.1464884101005638,-8.44232
850,5,0.1470855978846637,-8.43341
900,5,0.14483472899715705,-8.42934
950,5,0.14321260241487102,-8.42339
1000,5,0.1463504974986015,-8.42164
1050,5,0.14606298052591182,-8.41851
1100,5,0.14937638012444052,-8.41165
1150,5,0.15335318002507592,-8.40646
1200,5,0.15818250504602496,-8.40722
1250,5,0.1621914485845824,-8.39864
1300,5,0.15361226958480537,-8.40765
1350,5,0.15143206554949593,-8.40574
1400,5,0.147891826441174,-8.40174
1450,5,0.15625959259528865,-8.40172
1500,5,0.15117812584223614,-8.40217
1550,5,0.15238925321420577,-8.40004
1600,5,0.15686007696045984,-8.4002
1650,5,0.15685814467262707,-8.40097
1700,5,0.1489313188423583,-8.39875
1750,5,0.15494156783779553,-8.40498
1800,5,0.15364743885932233,-8.40317
1850,5,0.15960897172735072,-8.40281
1900,5,0.15031782682173717,-8.40471
1950,5,0.15768452510656433,-8.40586
2000,5,0.15220637259115757,-8.40403
2050,5,0.15488907264271443,-8.40419
2100,5,0.15090476105772796,-8.40508
2150,5,0.15325978179392255,-8.40316
2200,5,0.14965177821321005,-8.40486
2250,5,0.149727185023016,-8.39766
2300,5,0.1521583549669914,-8.40303
2350,5,0.1444458888540078,-8.3989
2400,5,0.15140080703000752,-8.39784
2450,5,0.15161140914608204,-8.40054
2500,5,0.15512180228195988,-8.40057
2550,5,0.15220511672606893,-8.40145
2600,5,0.15168475136679876,-8.39861
2650,5,0.15540142222654998,-8.40128
2700,5,0.15253418461603263,-8.39809
2750,5,0.14979422060684747,-8.39924
2800,5,0.14846912955638758,-8.39976
2850,5,0.14906791799326335,-8.40617
2900,5,0.1496350859202506,-8.4026
2950,5,0.14845079662416444,-8.40287
3000,5,0.1515976446841273,-8.40164
3050,5,0.1483391142305548,-8.40193
3100,5,0.14545357390274222,-8.40233
3150,5,0.15276647582779743,-8.40114
3200,5,0.14628228588295472,-8.40041
