iterations,top_n,coherence,LL
2950,5,0.1449704164393681,-8.33701
3000,5,0.14390984115996963,-8.3323
3050,5,0.14626736657764747,-8.33363
3100,5,0.14550043257117637,-8.33096
3150,5,0.14199300685843674,-8.33229
3200,5,0.14536149212390997,-8.32772
3250,5,0.1462613510142693,-8.32633
3300,5,0.15184186477676637,-8.3325
3350,5,0.14449707893442418,-8.33544
3400,5,0.14784747772301235,-8.3273
3450,5,0.1429963159942802,-8.32699
3500,5,0.14099286270010136,-8.32966
3550,5,0.14339076322912073,-8.32367
3600,5,0.14684437768527137,-8.33028
3650,5,0.14529971232878258,-8.3209
3700,5,0.14656335093417808,-8.33104
3750,5,0.14683945723134786,-8.3275
3800,5,0.14436913887839783,-8.32938
3850,5,0.14861863127568295,-8.32534
3900,5,0.14566639079463534,-8.32843
3950,5,0.14433905023970642,-8.32397
4000,5,0.14307865646567886,-8.32683
50,5,0.08206905165546957,-9.03463
100,5,0.10362933403834387,-8.88493
150,5,0.10669060969615027,-8.837
200,5,0.11625549932402739,-8.79717
250,5,0.12167937666252328,-8.74579
300,5,0.12437246002480762,-8.62974
350,5,0.13095376456201477,-8.55515
400,5,0.1370749380373815,-8.519
450,5,0.1351816869841367,-8.49088
500,5,0.13354257345744028,-8.46451
550,5,0.1390732313999843,-8.45042
600,5,0.14012966060288248,-8.43454
650,5,0.13952325160553308,-8.42311
700,5,0.13747327445344543,-8.4165
750,5,0.14057822573034162,-8.40659
800,5,0.14353885375952083,-8.39772
850,5,0.14475572645930807,-8.39121
900,5,0.14818003466425536,-8.38641
950,5,0.14594778558014895,-8.38054
1000,5,0.1450876539768462,-8.37982
1050,5,0.14642611053491578,-8.37443
1100,5,0.14618587168816902,-8.37143
1150,5,0.14321357400739748,-8.36656
1200,5,0.14487402446535436,-8.36472
1250,5,0.14646376192769314,-8.36432
1300,5,0.14585403837343622,-8.36101
1350,5,0.14960286568336825,-8.3626
1400,5,0.14507221613412932,-8.36197
1450,5,0.14624535120231225,-8.35519
1500,5,0.14195309404948436,-8.35499
1550,5,0.14799643183585695,-8.3504
1600,5,0.14689578371892206,-8.35674
1650,5,0.14283886153710695,-8.35019
1700,5,0.14460981818477556,-8.34983
1750,5,0.1414130279120209,-8.34397
1800,5,0.14675559829842535,-8.3426
1850,5,0.14754923668333234,-8.34394
1900,5,0.14767625252741884,-8.34484
1950,5,0.14716246947367095,-8.34986
2000,5,0.14209806670769004,-8.34597
2050,5,0.14491292213659093,-8.34192
2100,5,0.14632850818188245,-8.34357
2150,5,0.14408817195404003,-8.3388
2200,5,0.14841430370367859,-8.33807
2250,5,0.1512742963179656,-8.33603
2300,5,0.14764934369831806,-8.33825
2350,5,0.15094859418486437,-8.34104
2400,5,0.1514197163981979,-8.34112
2450,5,0.147576348805989,-8.34039
2500,5,0.1454810215139932,-8.34018
2550,5,0.14659945715128728,-8.34059
2600,5,0.14996838818023317,-8.3416
2650,5,0.15012591293021965,-8.33507
2700,5,0.1487683623567297,-8.33273
2750,5,0.14638090250719582,-8.33677
2800,5,0.15014490885051301,-8.34019
2850,5,0.14816390182380065,-8.33552
2900,5,0.15010597230000264,-8.3359
2950,5,0.15158301462411686,-8.33701
3000,5,0.15004741245015352,-8.3323
3050,5,0.1508620336909964,-8.33363
3100,5,0.14971607235076279,-8.33096
3150,5,0.14862642805662166,-8.33229
3200,5,0.1526108123675859,-8.32772
3250,5,0.15070528996707622,-8.32633
3300,5,0.14887590652205537,-8.3325
3350,5,0.1467201128500772,-8.33544
3400,5,0.15224518999680844,-8.3273
3450,5,0.14884926400907228,-8.32699
3500,5,0.14548059794425514,-8.32966
3550,5,0.14876045201441837,-8.32367
3600,5,0.15067180283419934,-8.33028
3650,5,0.14768826619708333,-8.3209
3700,5,0.14758959741515115,-8.33104
3750,5,0.1486752562535656,-8.3275
3800,5,0.1460262050043738,-8.32938
3850,5,0.15065845815036435,-8.32534
3900,5,0.14897870764849108,-8.32843
3950,5,0.1473289693810484,-8.32397
4000,5,0.15161816377437148,-8.32683
50,5,0.07910613923791843,-9.03463
100,5,0.10128318254599013,-8.88493
150,5,0.10836825967995499,-8.837
200,5,0.11323631051462535,-8.79717
250,5,0.1170014188114884,-8.74579
300,5,0.1211216807277602,-8.62974
350,5,0.1264953752873223,-8.55515
400,5,0.12933872156354018,-8.519
450,5,0.12765645598726227,-8.49088
500,5,0.1321991404298094,-8.46451
550,5,0.13443605840352849,-8.45042
600,5,0.13320034115817714,-8.43454
650,5,0.13328308311294157,-8.42311
700,5,0.1390847875245007,-8.4165
750,5,0.1388942171490812,-8.40659
800,5,0.14043039922237577,-8.39772
850,5,0.14256283288502958,-8.39121
900,5,0.14293405833331357,-8.38641
950,5,0.14471824366131392,-8.38054
1000,5,0.14068012558770415,-8.37982
1050,5,0.14062759120650617,-8.37443
1100,5,0.1408338157479621,-8.37143
1150,5,0.13765018208327073,-8.36656
1200,5,0.13874654941453005,-8.36472
1250,5,0.14047623392216887,-8.36432
1300,5,0.14230777112360846,-8.36101
1350,5,0.1404989553768993,-8.3626
1400,5,0.1369024641868956,-8.36197
1450,5,0.13858174058676662,-8.35519
1500,5,0.13708242863578055,-8.35499
1550,5,0.13916738603015097,-8.3504
1600,5,0.1394954976789343,-8.35674
1650,5,0.13998529379777244,-8.35019
1700,5,0.1378599293394355,-8.34983
1750,5,0.1406344565545958,-8.34397
1800,5,0.14022430490519824,-8.3426
1850,5,0.1376658117736379,-8.34394
1900,5,0.13887013576744967,-8.34484
1950,5,0.13934444532260495,-8.34986
2000,5,0.14026842599777997,-8.34597
2050,5,0.1423418975506211,-8.34192
2100,5,0.13954783271176444,-8.34357
2150,5,0.1380274396461083,-8.3388
2200,5,0.13922402082999108,-8.33807
2250,5,0.14048293570825393,-8.33603
2300,5,0.1419477371871629,-8.33825
2350,5,0.13953462135056535,-8.34104
2400,5,0.13910802846659506,-8.34112
2450,5,0.13750869229182938,-8.34039
2500,5,0.13866686696936412,-8.34018
2550,5,0.14178836702360217,-8.34059
2600,5,0.14127055968044222,-8.3416
2650,5,0.1380010142868913,-8.33507
2700,5,0.13769123295918081,-8.33273
2750,5,0.14504373604848889,-8.33677
2800,5,0.1380341151136607,-8.34019
2850,5,0.14145443031767682,-8.33552
2900,5,0.13786664881150182,-8.3359
2950,5,0.1404909442957638,-8.33701
3000,5,0.13971497485687423,-8.3323
3050,5,0.14072603629501637,-8.33363
3100,5,0.13814247369563573,-8.33096
3150,5,0.1377836081527074,-8.33229
3200,5,0.1395600382252358,-8.32772
3250,5,0.13961414786372664,-8.32633
3300,5,0.14399378086598874,-8.3325
3350,5,0.14187699856530445,-8.33544
