,n_topics,npmi_average
0,10,0.049169626354147525
1,11,0.03083814932973109
2,12,0.023328229643702028
3,13,0.03366218351258809
4,14,0.03978275075909139
5,15,0.030833936653773684
6,16,0.04078800657892025
7,17,0.03283580157379849
8,18,0.04172540403346517
9,19,0.04447863077866647
10,20,0.053300182051879835
11,21,0.0478413837536191
12,22,0.06169968886466358
13,23,0.05412692325865202
14,24,0.05047483356964547
15,25,0.05755019613117459
16,26,0.060400012587697886
17,27,0.05948480805675649
18,28,0.05740256736390074
19,29,0.059838143421357876
20,30,0.05339106060418375
21,31,0.060292100444600094
22,32,0.061868347891961994
23,33,0.06838204579882674
24,34,0.07309457713677774
25,35,0.07477176962828255
26,36,0.08290268767251904
27,37,0.07375462181581802
28,38,0.08026060041984745
29,39,0.008181661371812855
30,40,0.04006671222527265
