,n_topics,npmi_average
0,5,0.07304347999221028
1,6,0.06399767917790405
2,7,0.0898472729056493
3,8,0.10307242988836623
4,9,0.09093188530416138
5,10,0.08621395856696086
6,11,0.08786905275299162
7,12,0.07774088337703138
8,13,0.08536732400730332
9,14,0.07920427741952356
10,15,0.0818138478049053
11,16,0.08676775103838294
12,17,0.07538119864900453
13,18,0.07404082755608302
14,19,0.0862817717031849
15,20,0.07648522419375622
16,21,0.0846391858107769
17,22,0.07674880266046791
18,23,0.08343428813068768
19,24,0.0799112272686591
20,25,0.08066588036615366
21,26,0.07666753725251887
22,27,0.08346311535457787
23,28,0.0839302620224977
24,29,0.08248244652361168
25,30,0.08519007026427852
