K,iterations,coherence,LL
14,1250,0.07485198489497025,-8.72977
14,1300,0.07583163068647497,-8.73163
14,1350,0.07704250184983596,-8.73145
14,1400,0.07619487232602624,-8.71285
14,1450,0.07761544772181467,-8.68596
14,1500,0.07797383900003764,-8.68746
14,1550,0.07820666354308613,-8.68745
14,1600,0.07737389790071764,-8.67215
14,1650,0.07965417251738188,-8.64587
14,1700,0.08057059449074332,-8.64736
14,1750,0.07979601687509014,-8.64779
14,1800,0.07845721549681639,-8.6328
14,1850,0.08023507979991812,-8.60754
14,1900,0.08185323604825105,-8.61019
14,1950,0.0821552679270878,-8.60984
14,2000,0.07928224302730633,-8.59873
14,2050,0.0830699088658754,-8.57742
14,2100,0.08194788263382788,-8.57874
14,2150,0.08328919474426319,-8.57946
14,2200,0.0826560651818476,-8.57201
14,2250,0.08196721616027039,-8.55207
14,2300,0.08474467463436111,-8.55143
14,2350,0.08208689187761053,-8.55066
14,2400,0.08326684256364113,-8.54436
14,2450,0.08306889569534207,-8.52652
14,2500,0.08593028739800546,-8.52844
14,2550,0.08438118798040911,-8.52747
14,2600,0.08542224165369874,-8.52301
14,2650,0.08417948666116057,-8.50658
14,2700,0.08528129633250164,-8.50529
14,2750,0.08523782165289616,-8.50814
14,2800,0.08579845362799383,-8.50194
14,2850,0.08459009247257267,-8.48968
14,2900,0.08455705185535495,-8.48785
14,2950,0.08492819634495002,-8.48911
14,3000,0.08120708364876117,-8.48686
14,3050,0.08195391808531423,-8.47263
14,3100,0.08326682615905492,-8.47228
14,3150,0.08308585457366272,-8.47372
14,3200,0.08253991638853679,-8.47136
14,3250,0.08375992157484696,-8.4596
14,3300,0.08426019102841384,-8.45907
14,3350,0.08133953186077302,-8.45877
14,3400,0.08280036381672846,-8.4592
14,3450,0.08226596310065296,-8.44912
14,3500,0.08327044286371263,-8.44785
14,3550,0.08242133968549116,-8.44768
14,3600,0.08214548624346356,-8.44734
14,3650,0.0807465376088348,-8.43769
14,3700,0.08362637836575862,-8.43887
14,3750,0.0832463869085845,-8.43891
14,3800,0.0832143770272465,-8.43793
14,3850,0.08151538541044276,-8.43087
14,3900,0.08008975927171884,-8.43103
14,3950,0.08019430256658718,-8.4308
14,4000,0.08225925927467101,-8.43085
14,4050,0.08041620752578987,-8.42527
14,4100,0.07944487989502591,-8.42386
14,4150,0.0807273190819655,-8.42445
14,4200,0.07902725650696843,-8.42385
14,4250,0.07797797839718199,-8.41837
14,4300,0.07958389130124723,-8.42054
14,4350,0.07876455068895785,-8.41723
14,4400,0.07625889143391529,-8.41844
14,4450,0.0791266948473687,-8.41501
14,4500,0.08027156776278936,-8.41565
14,4550,0.07974653558298837,-8.41356
14,4600,0.08077758008317808,-8.41468
14,4650,0.0763259103490761,-8.41028
14,4700,0.07674533260406907,-8.41192
14,4750,0.07712210043059158,-8.41027
14,4800,0.07645818873602586,-8.41029
