num_topics,coherence,purity,contrast,coherence_std
10.0,inf,0.8648320589069753,0.4331973366799121,
10.0,inf,0.8631402370466909,0.43423423235617076,
10.0,inf,0.8679873628740472,0.4394097076214088,
30.0,inf,0.7639349370073417,0.4056940083794036,
30.0,inf,0.7589363978562303,0.3994104879712826,
30.0,inf,0.7632984225620728,0.4042909546871548,
50.0,inf,0.705095585527606,0.3928695585946219,
50.0,inf,0.7184530888986935,0.3914184612638186,
50.0,inf,0.7112741408814365,0.3923124596194352,
70.0,inf,0.684227672301688,0.3838431976668968,
70.0,inf,0.6810590822467948,0.38715025853294177,
70.0,inf,0.6797656134793653,0.3832582794349349,
90.0,inf,0.6596416489567832,0.37676127704069085,
90.0,inf,0.6633237500133848,0.38031110922292566,
90.0,inf,0.6714862844265126,0.3830447394274317,
110.0,inf,0.6525274315943898,0.37304764028673926,
110.0,inf,0.6469481606448247,0.37162150466364485,
110.0,inf,0.6480333861248762,0.3725906457038631,
130.0,inf,0.637534426062936,0.36891123593883246,
130.0,inf,0.6411950724352029,0.36911680521609325,
130.0,inf,0.6356493911633447,0.36815495209041177,
150.0,inf,0.6285733993109123,0.3675193826224085,
150.0,inf,0.6320719084147672,0.3670048848540091,
150.0,inf,0.6307973462527853,0.3685834622622397,
